cod.	documento	qtd.	ug	data	doc. p/ serv.		
ND	NOTA DE DOTACAO	10	154681	25/09/2023			
NC	NOTA DE CREDITO 	3	154681	25/09/2023			
RO	REGISTRO ORCAMENTARIO	13	154681	25/09/2023			
OB	ORDEM BANCARIA	173	154681	25/09/2023			
DF	ARREC.FINANCEIRA(DARF)	15	154681	25/09/2023			
PF	PROGRAMACAO FINANCEIRA	1	154681	25/09/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	196	154681	25/09/2023			
DR	 ARRECADACAO FINA. MUNICIPAL	1	154681	25/09/2023			
ND	NOTA DE DOTACAO	3	154681	15/08/2023			
NC	NOTA DE CREDITO 	1	154681	15/08/2023			
OB	ORDEM BANCARIA	6	154681	15/08/2023			
DF	ARREC.FINANCEIRA(DARF)	6	154681	15/08/2023			
PF	PROGRAMACAO FINANCEIRA	3	154681	15/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	24	154681	15/08/2023			
ND	NOTA DE DOTACAO	3	154681	14/08/2023			
NC	NOTA DE CREDITO 	1	154681	14/08/2023			
RO	REGISTRO ORCAMENTARIO	2	154681	14/08/2023			
OB	ORDEM BANCARIA	110	154681	14/08/2023			
PF	PROGRAMACAO FINANCEIRA	8	154681	14/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	139	154681	14/08/2023			
ND	NOTA DE DOTACAO	1	154681	11/08/2023			
NC	NOTA DE CREDITO 	1	154681	11/08/2023			
RO	REGISTRO ORCAMENTARIO	1	154681	11/08/2023			
OB	ORDEM BANCARIA	5	154681	11/08/2023			
PF	PROGRAMACAO FINANCEIRA	3	154681	11/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	11	154681	11/08/2023			
ND	NOTA DE DOTACAO	2	154681	10/08/2023			
NC	NOTA DE CREDITO 	1	154681	10/08/2023			
RO	REGISTRO ORCAMENTARIO	3	154681	10/08/2023			
OB	ORDEM BANCARIA	11	154681	10/08/2023			
DF	ARREC.FINANCEIRA(DARF)	2	154681	10/08/2023			
PF	PROGRAMACAO FINANCEIRA	8	154681	10/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	60	154681	10/08/2023			
ND	NOTA DE DOTACAO	5	154681	09/08/2023			
RO	REGISTRO ORCAMENTARIO	6	154681	09/08/2023			
OB	ORDEM BANCARIA	4	154681	09/08/2023			
DF	ARREC.FINANCEIRA(DARF)	1	154681	09/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	110	154681	09/08/2023			
ND	NOTA DE DOTACAO	9	154681	08/08/2023			
RO	REGISTRO ORCAMENTARIO	12	154681	08/08/2023			
DF	ARREC.FINANCEIRA(DARF)	27	154681	08/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	63	154681	08/08/2023			
DR	ARRECADAÇÃO MUNICIAPL	1	154681	08/08/2023			
GR	G U I A   D E  R E C O L H I M E N T O	2	154681	08/08/2023			
NC	NOTA DE CREDITO 	2	154681	07/08/2023			
NL	NOTA DE LANCAMENTO DE SISTEMA	2	154681	07/08/2023			
OB	ORDEM BANCARIA	593	154681	07/08/2023			
PF	PROGRAMACAO FINANCEIRA	3	154681	07/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	614	154681	07/08/2023			
ND	NOTA DE DOTACAO	5	154681	16/08/2023			
RO	REGISTRO ORCAMENTARIO	3	154681	16/08/2023			
OB	ORDEM BANCARIA	18	154681	16/08/2023			
DF	ARREC.FINANCEIRA(DARF)	85	154681	16/08/2023			
PF	PROGRAMACAO FINANCEIRA	2	154681	16/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	149	154681	16/08/2023			
ND	NOTA DE DOTACAO	3	154681	17/08/2023			
RO	REGISTRO ORCAMENTARIO	3	154681	17/08/2023			
DF	ARREC.FINANCEIRA(DARF)	10	154681	17/08/2023			
PF	PROGRAMACAO FINANCEIRA	9	154681	17/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	90	154681	17/08/2023			
RO	REGISTRO ORCAMENTARIO	2	154681	18/08/2023			
OB	ORDEM BANCARIA	19	154681	18/08/2023			
PF	PROGRAMACAO FINANCEIRA	5	154681	18/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	224	154681	18/08/2023			
ND	NOTA DE DOTACAO	2	154681	21/08/2023			
NC	NOTA DE CREDITO 	1	154681	21/08/2023			
OB	ORDEM BANCARIA	152	154681	21/08/2023			
DF	DARRF	10	154681	21/08/2023			
PF	PROGRAMACAO FINANCEIRA	2	154681	21/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	219	154681	21/08/2023			
ND	NOTA DE DOTACAO	10	154681	29/09/2023			
NC	NOTA DE CREDITO 	3	154681	26/08/2023			
RO	REGISTRO ORCAMENTARIO	13	154681	26/08/2023			
OB	ORDEM BANCARIA	173	154681	26/08/2023			
DARF	ARREC.FINANCEIRA(DARF)	15	154681	26/08/2023			
PF	PROGRAMACAO FINANCEIRA	1	154681	26/08/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	196	154681	26/08/2023			
DR	 ARRECADACAO FINA. MUNICIPAL	1	154681	26/08/2023			
ND	NOTA DE DOTACAO	1	154681	27/09/2023			
RO	REGISTRO ORCAMENTARIO	9	154681	27/09/2023			
OB	ORDEM BANCARIA	43	154681	27/09/2023			
DF	ARREC.FINANCEIRA(DARF)	4	154681	27/09/2023			
PF	PROGRAMACAO FINANCEIRA	8	154681	27/09/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	103	154681	27/09/2023			
ND	NOTA DE DOTACAO	11	154681	28/09/2023			
RO	REGISTRO ORCAMENTARIO	18	154681	28/09/2023			
OB	ORDEM BANCARIA	50	154681	28/09/2023			
PF	PROGRAMACAO FINANCEIRA	4	154681	28/09/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	183	154681	28/09/2023			
DR	 ARRECADACAO FINA. MUNICIPAL	1	154681	28/09/2023			
ND	NOTA DE DOTACAO	6	154681	29/09/2023			
RO	REGISTRO ORCAMENTARIO	9	154681	29/09/2023			
OB	ORDEM BANCARIA	90	154681	29/09/2023			
DARF	ARREC.FINANCEIRA(DARF)	4	154681	29/09/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	440	154681	29/09/2023			
GR	G U I A   D E  R E C O L H I M E N T O	4	154681	29/09/2023			
ND	NOTA DE DOTACAO	3	154681	02/10/2023			
NC	NOTA DE CREDITO 	4	154681	02/10/2023			
RO	REGISTRO ORCAMENTARIO	6	154681	02/10/2023			
OB	ORDEM BANCARIA	158	154681	02/10/2023			
DF	ARREC.FINANCEIRA(DARF)	4	154681	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	154681	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	409	154681	02/10/2023			
ND	NOTA DE DOTACAO	6	154681	02/10/2023			
RO	REGISTRO ORCAMENTARIO	7	154681	02/10/2023			
OB	ORDEM BANCARIA	41	154681	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	19	154681	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	189	154681	02/10/2023			
ND	NOTA DE LANCAMENTO DE SISTEMA	9	154681	05/10/2023			
RO	REGISTRO ORCAMENTARIO	8	154681	05/10/2023			
OB	ORDEM BANCARIA	332	154681	05/10/2023			
DF	DF	4	154681	05/10/2023			
PF	PROGRAMACAO FINANCEIRA	3	154681	05/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	421	154681	05/10/2023			
ND	NOTA DE DOTACAO	6	154681	04/10/2023			
RO	REGISTRO ORCAMENTARIO	10	154681	04/10/2023			
OB	ORDEM BANCARIA	63	154681	04/10/2023			
DF	ARREC.FINANCEIRA(DARF)	4	154681	04/10/2023			
PF	PROGRAMACAO FINANCEIRA	5	154681	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	180	154681	04/10/2023			
ND	NOTA DE DOTACAO	5	154681	06/10/2023			
RO	REGISTRO ORCAMENTARIO	7	154681	06/10/2023			
OB	ORDEM BANCARIA	11	154681	06/10/2023			
DF	ARREC.FINANCEIRA(DARF)	6	154681	06/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	154681	06/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	578	154681	06/10/2023			
DR	ARRECADAÇÃO MUNICIAPL	1	154681	06/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	158392	02/10/2023			
OB	ORDEM BANCARIA	1	158392	04/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	158392	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	158393	05/10/2023			
OB	ORDEM BANCARIA	1	158393	02/10/2023			
DF	ARREC.FINANCEIRA(DARF)	1	158393	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	4	158393	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	158393	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158393	03/10/2023			
OB	ORDEM BANCARIA	2	158393	04/10/2023			
DF	ARREC.FINANCEIRA(DARF)	2	158393	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	158393	04/10/2023			
GR	G U I A   D E  R E C O L H I M E N T O	1	158393	04/10/2023			
ND	NOTA DE DOTACAO	2	154626	02/10/2023			
RO	REGISTRO ORCAMENTARIO	1	154626	02/10/2023			
OB	ORDEM BANCARIA	1	154626	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	6	154626	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	3	154626	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154626	03/10/2023			
OB	ARRECADAÇÃO MUNICIAPL	3	154626	03/10/2023			
DF	DARF	1	154626	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	154626	03/10/2023			
OB	ORDEM BANCARIA	1	158394	05/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158394	05/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	158394	02/10/2023			
OB	ORDEM BANCARIA	6	158394	03/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	158394	03/10/2023			
DF	DARF	2	158394	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	9	158394	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	3	158394	04/10/2023			
OB	ORDEM BANCARIA	3	152430	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	9	152430	04/10/2023			
ND	NOTA DE DOTACAO	2	152430	02/10/2023			
NC	NOTA DE CREDITO 	1	152430	02/10/2023			
RO	REGISTRO ORCAMENTARIO	3	152430	02/10/2023			
OB	ORDEM BANCARIA	4	152430	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	12	152430	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	152430	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	8	152430	03/10/2023			
OB	ORDEM BANCARIA	11	152430	04/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	152430	04/10/2023			
DF	DARF	2	152430	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	18	152430	04/10/2023			
OB	ORDEM BANCARIA	5	152420	05/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152420	05/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	3	152420	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	152420	03/10/2023			
DF	DARF	2	152420	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	6	152420	03/10/2023			
OB	ORDEM BANCARIA	2	152420	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154680	05/10/2023			
OB	ORDEM BANCARIA	1	154680	02/10/2023			
OB	ORDEM BANCARIA	1	154680	03/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	154680	03/10/2023			
DF	DARF	5	154680	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	9	154680	03/10/2023			
OB	ORDEM BANCARIA	8	154680	04/10/2023			
ND	NOTA DE DOTACAO	1	154680	02/10/2023			
RO	REGISTRO ORCAMENTARIO	2	154680	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154680	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154626	04/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154681	05/10/2023			
OB	ORDEM BANCARIA	1	154681	02/10/2023			
DF	DARF	3	154681	02/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154681	02/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	154681	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154681	03/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154681	02/10/2023			
ND	NOTA DE DOTACAO	5	158134	06/10/2023			
RO	REGISTRO ORCAMENTARIO	7	158134	06/10/2023			
OB	ORDEM BANCARIA	11	158134	06/10/2023			
DF	DARF	6	158134	06/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	158134	06/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	578	158134	06/10/2023			
DR	 ARRECADACAO FINA. MUNICIPAL	1	158134	06/10/2023			
ND	NOTA DE DOTACAO	11	158134	09/10/2023			
RO	REGISTRO ORCAMENTARIO	8	158134	09/10/2023			
OB	ORDEM BANCARIA	155	158134	09/10/2023			
DF	DARF	16	158134	09/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	158134	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	234	158134	09/10/2023			
ND	NOTA DE DOTACAO	7	158134	10/10/2023			
RO	REGISTRO ORCAMENTARIO	6	158134	10/10/2023			
OB	REGISTRO ORCAMENTARIO	317	158134	10/10/2023			
DF	DARF	7	158134	10/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	158134	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	603	158134	10/10/2023			
DR	 ARRECADACAO FINA. MUNICIPAL	1	158134	10/10/2023			
OB	ORDEM BANCARIA	236	158134	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158134	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152430	02/10/2023			
OB	ORDEM BANCARIA	3	152430	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	6	152430	09/10/2023			
ND	NOTA DE DOTACAO	1	152430	10/10/2023			
NC	NOTA DE CREDITO 	1	152430	10/10/2023			
RO	REGISTRO ORCAMENTARIO	1	152430	10/10/2023			
OB	ORDEM BANCARIA	3	152430	10/10/2023			
DF	DARF	1	152430	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	8	152430	10/10/2023			
OB	ORDEM BANCARIA	1	154681	06/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154681	06/10/2023			
OB	ORDEM BANCARIA	2	154681	09/10/2023			
DF	DARF	1	154681	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	154681	09/10/2023			
OB	ORDEM BANCARIA	1	154681	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	4	154681	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	158394	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	3	158392	06/10/2023			
OB	ORDEM BANCARIA	2	158392	09/10/2023			
DF	DARF	2	158392	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158392	09/10/2023			
OB	ORDEM BANCARIA	2	158392	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	6	158392	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158392	06/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	6	152420	09/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	152420	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154679	06/10/2023			
RO	REGISTRO ORCAMENTARIO	1	154679	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154679	09/10/2023			
OB	ORDEM BANCARIA	2	154679	09/10/2023			
DF	DARF	3	154679	10/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	4	154679	10/10/2023			
ND	NOTA DE DOTACAO	6	158134	11/10/2023			
NC	NOTA DE CREDITO 	1	158134	11/10/2023			
RO	REGISTRO ORCAMENTARIO	5	158134	11/10/2023			
OB	ORDEM BANCARIA	585	158134	11/10/2023			
DF	DARF	2	158134	11/10/2023			
PF	PROGRAMACAO FINANCEIRA	4	158134	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	679	158134	11/10/2023			
OB	ORDEM BANCARIA	9	158134	13/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	33	158134	13/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	3	158392	11/10/2023			
OB	ORDEM BANCARIA	1	152420	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	152420	11/10/2023			
OB	ORDEM BANCARIA	4	152430	11/10/2023			
DF	DARF	1	152430	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	152430	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152426	11/10/2023			
OB	ORDEM BANCARIA	5	158393	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	10	158393	11/10/2023			
OB	ORDEM BANCARIA	1	154679	11/10/2023			
DF	DARF	1	154679	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154679	11/10/2023			
ND	NOTA DE DOTACAO	1	154681	11/10/2023			
RO	REGISTRO ORCAMENTARIO	1	154681	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154681	11/10/2023			
