documento,numero,servidor,data,,
R E G I S T R O O R C A M E N T A R I O,2025NS023716,Victor,02/10/2023,,
N O T A D E D O T A C A O,2025NS023715,Victor,02/10/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023714,Victor,02/10/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023713,Victor,02/10/2023,,
O R D E M B A N C A R I A,2025NS023712,Victor,02/10/2023,,
D A R F,2025NS023711,Victor,08/08/2023,,
D A R F,2025NS023710,Victor,08/08/2023,,
D A R F,2025NS023709,Victor,08/08/2023,,
D A R F,2025NS023708,Victor,08/08/2023,,
D A R F,2025NS023707,Victor,08/08/2023,,
D A R F,2025NS023706,Victor,08/08/2023,,
D A R F,2025NS023705,Victor,08/08/2023,,
D A R F,2025NS023704,Victor,08/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023703,Victor,08/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023702,Victor,08/08/2023,,
G U I A D E R E C O L H I M E N T O,2025NS023701,Victor,08/08/2023,,
G U I A D E R E C O L H I M E N T O,2025NS023700,Victor,08/08/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023699,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023698,Victor,09/08/2023,,
G U I A D E R E C O L H I M E N T O,2025NS023697,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023696,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023695,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023694,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023693,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023692,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023691,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023690,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023689,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023688,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023687,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023686,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023685,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023684,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023683,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023682,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023681,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023680,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023679,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023678,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023677,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023676,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023675,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023674,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023673,Victor,09/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023672,Victor,09/08/2023,,
N O T A D E D O T A C A O,2025NS023671,Victor,11/08/2023,,
N O T A D E D O T A C A O,2025NS023670,Victor,11/08/2023,,
O R D E M B A N C A R I A,2025NS023669,Victor,11/08/2023,,
O R D E M B A N C A R I A,2025NS023668,Victor,11/08/2023,,
O R D E M B A N C A R I A,2025NS023667,Victor,11/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023666,Victor,11/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023665,Victor,11/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023664,Victor,11/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023663,Victor,11/08/2023,,
O R D E M B A N C A R I A,2025NS023662,Victor,16/08/2023,,
D A R F,2025NS023661,Victor,16/08/2023,,
O R D E M B A N C A R I A,2025NS023660,Victor,16/08/2023,,
D A R F,2025NS023659,Victor,16/08/2023,,
D A R F,2025NS023658,Victor,16/08/2023,,
D A R F,2025NS023657,Victor,16/08/2023,,
O R D E M B A N C A R I A,2025NS023656,Victor,16/08/2023,,
D A R F,2025NS023655,Victor,16/08/2023,,
D A R F,2025NS023654,Victor,16/08/2023,,
D A R F,2025NS023653,Victor,16/08/2023,,
D A R F,2025NS023652,Victor,16/08/2023,,
O R D E M B A N C A R I A,2025NS023651,Victor,16/08/2023,,
D A R F,2025NS023650,Victor,16/08/2023,,
O R D E M B A N C A R I A,2025NS023649,Victor,16/08/2023,,
D A R F,2025NS023648,Victor,16/08/2023,,
D A R F,2025NS023647,Victor,16/08/2023,,
D A R F,2025NS023646,Victor,16/08/2023,,
D A R F,2025NS023645,Victor,16/08/2023,,
D A R F,2025NS023644,Victor,16/08/2023,,
D A R F,2025NS023643,Victor,16/08/2023,,
D A R F,2025NS023642,Victor,16/08/2023,,
D A R F,2025NS023641,Victor,16/08/2023,,
D A R F,2025NS023640,Victor,16/08/2023,,
D A R F,2025NS023639,Victor,16/08/2023,,
D A R F,2025NS023638,Victor,16/08/2023,,
D A R F,2025NS023637,Victor,16/08/2023,,
D A R F,2025NS023636,Victor,16/08/2023,,
D A R F,2025NS023635,Victor,16/08/2023,,
D A R F,2025NS023634,Victor,16/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023633,Victor,16/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023632,Victor,16/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023631,Victor,16/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023630,Victor,16/08/2023,,
N O T A D E L A N C A M E N T O S I S T E M A,2025NS023629,Victor,16/08/2023,,
O R D E M B A N C A R I A,2025NS023628,Victor,16/08/2023,,
N O T A D E D O T A C A O,2025NS023627,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023626,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023625,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023624,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023623,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023622,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023621,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023620,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023619,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023618,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023617,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023616,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023615,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023614,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023613,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023612,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023611,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023610,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023609,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023608,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023607,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023606,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023605,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023604,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023603,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023602,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023601,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023600,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023599,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023598,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023597,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023596,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023595,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023594,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023593,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023592,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023591,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023590,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023589,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023588,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023587,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023586,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023585,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023584,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023583,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023582,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023581,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023580,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023579,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023578,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023577,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023576,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023575,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023574,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023573,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023572,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023571,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023570,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023569,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023568,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023567,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023566,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023565,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023564,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023563,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023562,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023561,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023560,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023559,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023558,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023557,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023556,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023555,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023554,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023553,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023552,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023551,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023550,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023549,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023548,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023547,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023546,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023545,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023544,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023543,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023542,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023541,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023540,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023539,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023538,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023537,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023536,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023535,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023534,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023533,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023532,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023531,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023530,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023529,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023528,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023527,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023526,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023525,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023524,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023523,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023522,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023521,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023520,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023519,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023518,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023517,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023516,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023515,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023514,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023513,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023512,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023511,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023510,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023509,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023508,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023507,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023506,Victor,26/09/2023,,
